#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
22101  37.24   126.02  2018 11 29 07 00  40   4.0    MM   MM  MM   MM  MM 1026.8    MM   8.0  13.3    MM   MM     MM
22102  34.79   125.78  2018 11 29 07 00 360   3.0    MM   MM  MM   MM  MM 1025.1    MM  11.9  14.1    MM   MM     MM
22103  34.00   127.50  2018 11 29 07 00  20   4.0    MM   MM  MM   MM  MM 1026.1    MM  14.5  16.0    MM   MM     MM
22104  34.77   128.90  2018 11 29 07 00 190   1.0    MM   MM  MM   MM  MM 1024.3    MM  15.3  17.3    MM   MM     MM
22105  37.54   130.00  2018 11 29 07 00 270   1.0    MM   MM  MM   MM  MM 1023.4    MM  10.2  15.0    MM   MM     MM
22106  36.35   129.78  2018 11 29 07 00 200   2.0    MM   MM  MM   MM  MM 1024.2    MM  12.0  16.0    MM   MM     MM
22107  33.08   126.03  2018 11 29 07 00 310   4.0    MM   MM  MM   MM  MM 1024.3    MM  15.7  20.7    MM   MM     MM
22108  36.25   125.75  2018 11 29 07 00 110   1.0    MM   MM  MM   MM  MM 1025.9    MM  11.1  13.6    MM   MM     MM
41002  31.760  -74.840 2018 11 29 07 30  MM   8.0  12.0   MM  MM   MM  MM 1015.5    MM    MM  23.5    MM   MM     MM
41004  32.501  -79.099 2018 11 29 07 40 310   6.0   7.0   MM  MM   MM  MM 1019.4    MM  11.0  22.9   2.0   MM     MM
41008  31.400  -80.868 2018 11 29 06 50 330   8.0  10.0  0.7   4  3.5 324 1019.9  +0.3  10.3  17.1  -2.8   MM     MM
41009  28.501  -80.184 2018 11 29 07 40 320   6.0   8.0   MM  MM   MM  MM 1019.8    MM  15.7    MM   8.2   MM     MM
41010  28.878  -78.485 2018 11 29 07 40 320   6.0   9.0   MM  MM   MM  MM 1018.3    MM  18.3  26.8   9.2   MM     MM
41013  33.436  -77.743 2018 11 29 07 40 300   6.0   9.0   MM  MM   MM  MM 1018.9    MM   9.4  23.9  -0.9   MM     MM
41024  33.837  -78.477 2018 11 29 07 08 320   4.0   5.0   MM  MM   MM  MM 1018.8    MM   6.3  14.6    MM   MM     MM
41025  35.090  -75.360 2018 11 29 07 40 320   8.0  11.0   MM  MM   MM  MM 1016.9    MM    MM  15.7    MM   MM     MM
41029  32.803  -79.624 2018 11 29 07 08 320   4.0   6.0   MM  MM   MM  MM 1018.3    MM   8.4  15.3    MM   MM     MM
41033  32.279  -80.406 2018 11 29 06 08  MM   0.0   0.0   MM  MM   MM  MM     MM    MM   0.0    MM    MM   MM     MM
41037  33.988  -77.362 2018 11 29 07 08 320   7.0  11.0   MM  MM   MM  MM 1018.1    MM   8.6  19.4    MM   MM     MM
41038  34.141  -77.715 2018 11 29 07 08 340   6.0   9.0   MM  MM   MM  MM 1018.5    MM   6.1  15.7    MM   MM     MM
41040  14.559  -53.073 2018 11 29 06 40  MM    MM    MM  2.3   9  6.3 109     MM    MM    MM    MM    MM   MM     MM
41041  14.329  -46.082 2018 11 29 07 40  80   9.0  11.0   MM  MM   MM  MM 1014.9    MM    MM    MM    MM   MM     MM
