#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
22101  37.24   126.02  2019 03 11 23 00 210   5.0    MM   MM  MM   MM  MM 1009.0    MM   5.9   4.5    MM   MM     MM
22102  34.79   125.78  2019 03 11 23 00 220   4.0    MM   MM  MM   MM  MM 1012.4    MM   6.8   7.2    MM   MM     MM
22103  34.00   127.50  2019 03 11 23 00 300   7.0    MM   MM  MM   MM  MM 1014.7    MM   8.4  13.5    MM   MM     MM
22104  34.77   128.90  2019 03 11 23 00 270   6.0    MM   MM  MM   MM  MM 1010.6    MM  10.0  14.6    MM   MM     MM
22105  37.54   130.00  2019 03 11 23 00 300   8.0    MM   MM  MM   MM  MM 1006.0    MM   9.6  11.8    MM   MM     MM
22106  36.35   129.78  2019 03 11 23 00 300   8.0    MM   MM  MM   MM  MM 1008.1    MM   9.3  15.2    MM   MM     MM
22107  33.08   126.03  2019 03 11 23 00 290   5.0    MM   MM  MM   MM  MM 1014.1    MM  10.2  15.0    MM   MM     MM
22108  36.25   125.75  2019 03 11 23 00 250   6.0    MM   MM  MM   MM  MM 1010.5    MM   6.2   5.8    MM   MM     MM
41002  31.615  -74.776 2019 03 11 23 30  MM   7.0   9.0   MM  MM   MM  MM 1019.2    MM    MM    MM    MM   MM     MM
41004  32.501  -79.099 2019 03 11 23 20  50   5.0   6.0   MM  MM   MM  MM 1021.4    MM    MM  20.9    MM   MM     MM
41008  31.400  -80.868 2019 03 11 22 50  60   5.0   6.0  0.7   8  6.0 127 1020.3  -0.3  18.1  17.9  16.4   MM     MM
41009  28.508  -80.185 2019 03 11 23 20 160   3.0   3.0   MM  MM   MM  MM 1020.5    MM  22.5    MM  20.8   MM     MM
41010  28.878  -78.485 2019 03 11 23 30 200   5.0   7.0   MM  MM   MM  MM 1020.9    MM  24.1  24.1  21.8   MM     MM
41013  33.436  -77.743 2019 03 11 23 20  70   4.0   5.0   MM  MM   MM  MM 1020.7    MM  18.9  20.8  10.2   MM     MM
41024  33.837  -78.477 2019 03 11 23 08 150   1.0   2.0   MM  MM   MM  MM 1020.8    MM  16.0  15.7    MM   MM     MM
41029  32.803  -79.624 2019 03 11 23 08 340   3.0   5.0   MM  MM   MM  MM 1022.4    MM  16.2  15.5    MM   MM     MM
41033  32.279  -80.406 2019 03 11 23 08  50   5.0   7.0   MM  MM   MM  MM 1020.5    MM  16.9    MM    MM   MM     MM
41037  33.988  -77.362 2019 03 11 23 08 110   1.0   2.0   MM  MM   MM  MM 1020.7    MM  16.1  15.1    MM   MM     MM
41038  34.141  -77.715 2019 03 11 23 08  MM   0.0   1.0   MM  MM   MM  MM 1020.6    MM  14.5  13.9    MM   MM     MM
41040  14.554  -53.045 2019 03 11 22 40  MM    MM    MM  1.6  10  6.1  17     MM    MM    MM    MM    MM   MM     MM
41041  14.338  -46.070 2019 03 11 23 30 130   6.0   8.0   MM  MM   MM  MM 1016.4    MM    MM    MM    MM   MM     MM
41043  21.124  -64.830 2019 03 11 23 30  70   7.0   9.0   MM  MM   MM  MM 1019.1    MM  24.5  25.7  18.1   MM     MM
41044  21.582  -58.630 2019 03 11 23 30  60   8.0  10.0   MM  MM   MM  MM 1019.0    MM  24.0  25.6  19.4   MM     MM
